DBN,District,School Name,Is Org Split-Sited,Building ID(s),Transfer School,Total Enrollment,Grades PK-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiple Race Categories Not Represented,% White,% SWD,% ELL,% Poverty,ELA # Tested,ELA # Proficient (L3&4),ELA % Proficient (L3&4),Math # Tested,Math # Proficient (L3&4),Math % Proficient (L3&4),2017-18 Total 4-year August Grad Cohort,2017-18 % 4-year August Graduates,2017-18 Total 6-year Grad Cohort,2017-18 % 6-year Graduates
08X559,8,School for Tourism and Hospitality,false,X650,false,299,0,0,299,0.007,0.311,0.652,0.01,0.02,0.298,0.247,0.92,No Data,No Data,No Data,No Data,No Data,No Data,94,41.5%,72,76.4%
08X561,8,Bronx Compass High School,false,X450,false,381,0,0,381,0.042,0.276,0.638,0.021,0.024,0.234,0.108,0.824,No Data,No Data,No Data,No Data,No Data,No Data,116,63.8%,93,80.6%
08X562,8,Blueprint Middle School,false,X125,false,667,0,667,0,0.234,0.121,0.558,0.021,0.066,0.207,0.213,0.895,629,206,32.8%,646,220,34.1%,No Data,No Data,No Data,No Data
09X004,9,P.S./M.S. 004 Crotona Park West,false,X004,false,549,375,174,0,0.011,0.515,0.45,0.005,0.018,0.239,0.16,0.944,292,79,27.1%,301,93,30.9%,No Data,No Data,No Data,No Data
09X022,9,J.H.S. 022 Jordan L. Mott,false,X022,false,420,0,420,0,0.007,0.21,0.76,0.005,0.019,0.238,0.281,0.974,385,77,20.0%,397,47,11.8%,No Data,No Data,No Data,No Data
09X042,9,P.S. 042 Claremont,false,X042,false,399,399,0,0,0.003,0.383,0.581,0.005,0.028,0.286,0.105,0.987,148,47,31.8%,151,39,25.8%,No Data,No Data,No Data,No Data
09X055,9,P.S. 055 Benjamin Franklin,false,X055,false,590,590,0,0,0,0.475,0.519,0,0.007,0.19,0.095,0.976,229,84,36.7%,235,73,31.1%,No Data,No Data,No Data,No Data
09X063,9,P.S. 063 Author's Academy,false,X063,false,530,530,0,0,0.008,0.404,0.545,0.011,0.032,0.225,0.185,0.96,231,81,35.1%,236,82,34.7%,No Data,No Data,No Data,No Data
09X110,9,P.S. 110 Theodore Schoenfeld,false,X110,false,408,408,0,0,0.002,0.353,0.559,0.007,0.078,0.221,0.174,0.975,193,62,32.1%,191,57,29.8%,No Data,No Data,No Data,No Data
09X117,9,I.S. 117 Joseph H. Wade,false,X117,false,488,0,488,0,0.01,0.182,0.791,0.004,0.012,0.242,0.361,0.949,447,75,16.8%,471,70,14.9%,No Data,No Data,No Data,No Data
09X128,9,Mott Hall III,false,X110,false,353,0,353,0,0.008,0.323,0.649,0.008,0.011,0.176,0.054,0.929,342,220,64.3%,341,179,52.5%,No Data,No Data,No Data,No Data
09X204,9,P.S. 204 Morris Heights,false,X338,false,632,632,0,0,0.013,0.275,0.701,0.005,0.006,0.214,0.123,0.84,334,194,58.1%,337,193,57.3%,No Data,No Data,No Data,No Data
09X215,9,Kappa,false,X148,false,329,0,329,0,0.03,0.48,0.456,0.006,0.027,0.261,0.106,0.869,301,120,39.9%,298,109,36.6%,No Data,No Data,No Data,No Data
09X218,9,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,false,X235,false,1036,694,342,0,0.025,0.047,0.908,0.009,0.011,0.178,0.247,0.86,653,228,34.9%,655,235,35.9%,No Data,No Data,No Data,No Data
09X219,9,I.S. 219 New Venture School,false,X148,false,344,0,344,0,0.006,0.39,0.59,0.006,0.009,0.349,0.244,0.939,314,39,12.4%,327,22,6.7%,No Data,No Data,No Data,No Data
09X227,9,Bronx Collegiate Academy,false,X410,false,388,0,0,388,0.034,0.232,0.719,0.005,0.01,0.211,0.191,0.881,No Data,No Data,No Data,No Data,No Data,No Data,90,85.6%,85,64.7%
09X229,9,I.S. 229 Roland Patterson,false,X229,false,243,0,243,0,0.004,0.374,0.601,0.021,0,0.333,0.156,0.938,219,32,14.6%,228,10,4.4%,No Data,No Data,No Data,No Data
09X232,9,I.S. 232,false,X082,false,511,0,511,0,0.002,0.221,0.769,0,0.008,0.229,0.354,0.969,451,112,24.8%,477,85,17.8%,No Data,No Data,No Data,No Data
09X241,9,"Urban Assembly School for Applied Math and Science, The",false,X970,false,606,0,272,334,0.005,0.294,0.688,0.01,0.003,0.282,0.127,0.942,242,62,25.6%,194,45,23.2%,94,85.1%,74,95.9%
09X250,9,Eximius College Preparatory Academy: A College Board School,false,X002,false,430,0,0,430,0.009,0.321,0.653,0.016,0,0.258,0.086,0.814,No Data,No Data,No Data,No Data,No Data,No Data,103,81.6%,88,93.2%
09X252,9,Mott Hall Bronx High School,false,X970,false,379,0,0,379,0,0.264,0.712,0.013,0.011,0.227,0.111,0.916,No Data,No Data,No Data,No Data,No Data,No Data,102,81.4%,107,80.4%
09X260,9,Bronx Center for Science and Mathematics,false,X002,false,448,0,0,448,0.067,0.205,0.676,0.022,0.029,0.232,0.058,0.877,No Data,No Data,No Data,No Data,No Data,No Data,113,91.2%,103,95.1%
09X263,9,Validus Preparatory Academy,false,X970,false,361,0,0,361,0.006,0.316,0.665,0.008,0.006,0.274,0.152,0.889,No Data,No Data,No Data,No Data,No Data,No Data,91,63.7%,97,82.5%
09X274,9,The New American Academy at Roberto Clemente State Park,false,X229,false,714,714,0,0,0,0.385,0.591,0.014,0.01,0.279,0.153,0.978,290,75,25.9%,301,48,15.9%,No Data,No Data,No Data,No Data
09X294,9,The Walton Avenue School,false,X064,false,502,502,0,0,0.004,0.149,0.809,0.018,0.02,0.225,0.231,0.93,140,104,74.3%,161,145,90.1%,No Data,No Data,No Data,No Data
09X297,9,Morris Academy for Collaborative Studies,false,X400,false,409,0,0,409,0.017,0.274,0.689,0.002,0.017,0.271,0.171,0.941,No Data,No Data,No Data,No Data,No Data,No Data,90,73.3%,98,69.4%
09X303,9,I.S. X303 Leadership & Community Service,false,X082,false,318,0,318,0,0.013,0.27,0.701,0.009,0.006,0.355,0.138,0.984,291,102,35.1%,245,64,26.1%,No Data,No Data,No Data,No Data
09X311,9,Lucero Elementary School,false,X064,false,417,417,0,0,0.002,0.077,0.911,0.005,0.005,0.223,0.448,0.971,157,60,38.2%,170,77,45.3%,No Data,No Data,No Data,No Data
09X313,9,I.S. 313 School of Leadership Development,false,X147,false,302,0,302,0,0.003,0.262,0.715,0.013,0.007,0.238,0.368,0.904,241,43,17.8%,270,57,21.1%,No Data,No Data,No Data,No Data
09X323,9,Bronx Writing Academy,false,X022,false,401,0,401,0,0.012,0.317,0.641,0.015,0.015,0.257,0.242,0.925,355,95,26.8%,372,68,18.3%,No Data,No Data,No Data,No Data
09X324,9,Bronx Early College Academy for Teaching & Learning,false,X166,false,510,0,238,272,0.027,0.278,0.667,0.012,0.016,0.188,0.092,0.878,200,49,24.5%,117,25,21.4%,61,86.9%,68,92.6%
09X327,9,Comprehensive Model School Project M.S. 327,false,X240,false,735,0,302,433,0.003,0.195,0.789,0.003,0.011,0.264,0.113,0.879,289,118,40.8%,288,166,57.6%,104,86.5%,112,92.0%
09X328,9,New Millennium Business Academy Middle School,false,X145,false,319,0,319,0,0.009,0.304,0.661,0.003,0.022,0.27,0.307,0.871,271,48,17.7%,287,42,14.6%,No Data,No Data,No Data,No Data
09X329,9,DreamYard Preparatory School,false,X410,false,271,0,0,271,0.007,0.277,0.686,0.011,0.018,0.244,0.225,0.886,No Data,No Data,No Data,No Data,No Data,No Data,76,53.9%,67,59.7%
09X339,9,I.S. 339,false,X147,false,477,0,477,0,0.017,0.291,0.681,0.004,0.006,0.27,0.289,0.918,396,84,21.2%,435,89,20.5%,No Data,No Data,No Data,No Data
09X350,9,New Directions Secondary School,false,X410,true,228,0,81,147,0.009,0.263,0.68,0.035,0.013,0.289,0.382,0.947,39,2,5.1%,38,1,2.6%,20,15.0%,s,s
09X365,9,Academy for Language and Technology,false,X082,false,324,0,0,324,0,0.003,0.994,0.003,0,0.065,0.731,1,No Data,No Data,No Data,No Data,No Data,No Data,75,96.0%,73,93.2%
09X403,9,Bronx International High School,false,X400,false,418,0,0,418,0.029,0.124,0.809,0.007,0.031,0.029,0.914,0.892,No Data,No Data,No Data,No Data,No Data,No Data,97,62.9%,77,84.4%
09X404,9,School for Excellence,false,X400,false,326,0,0,326,0.009,0.285,0.684,0.009,0.012,0.279,0.27,0.871,No Data,No Data,No Data,No Data,No Data,No Data,86,66.3%,77,67.5%
09X412,9,Bronx High School of Business,false,X410,false,275,0,0,275,0.022,0.204,0.738,0.015,0.022,0.218,0.382,0.931,No Data,No Data,No Data,No Data,No Data,No Data,66,62.1%,56,62.5%
09X413,9,Bronx High School for Medical Science,false,X410,false,419,0,152,267,0.067,0.258,0.635,0.024,0.017,0.205,0.138,0.814,143,62,43.4%,139,51,36.7%,68,76.5%,78,96.2%
09X443,9,The Family School,false,X090,false,555,555,0,0,0.04,0.267,0.681,0.004,0.009,0.265,0.286,0.919,207,70,33.8%,218,85,39.0%,No Data,No Data,No Data,No Data
09X449,9,Grant Avenue Elementary School,false,X166,false,455,455,0,0,0.048,0.29,0.629,0.018,0.015,0.305,0.235,0.936,198,73,36.9%,200,70,35.0%,No Data,No Data,No Data,No Data
09X454,9,Science and Technology Academy: A Mott Hall School,false,X166,false,450,0,450,0,0.033,0.273,0.684,0.004,0.004,0.2,0.169,0.94,406,208,51.2%,422,218,51.7%,No Data,No Data,No Data,No Data
09X457,9,Sheridan Academy for Young Leaders,false,X090,false,494,494,0,0,0.022,0.289,0.68,0.004,0.004,0.245,0.223,0.976,221,68,30.8%,239,88,36.8%,No Data,No Data,No Data,No Data
09X517,9,Frederick Douglass Academy III Secondary School,false,X148,false,408,0,0,408,0.012,0.434,0.522,0.015,0.017,0.257,0.203,0.863,No Data,No Data,No Data,No Data,No Data,No Data,112,61.6%,90,67.8%
09X543,9,High School for Violin and Dance,false,X400,false,253,0,0,253,0.004,0.348,0.628,0.004,0.016,0.308,0.178,0.917,No Data,No Data,No Data,No Data,No Data,No Data,98,69.4%,66,74.2%
09X555,9,Mount Eden Children's Academy,false,X240,false,427,427,0,0,0.002,0.176,0.794,0.019,0.009,0.159,0.211,0.934,188,74,39.4%,189,98,51.9%,No Data,No Data,No Data,No Data
09X564,9,Claremont International HS,false,X410,false,361,0,0,361,0.075,0.197,0.679,0.008,0.042,0.05,0.845,0.975,No Data,No Data,No Data,No Data,No Data,No Data,88,65.9%,68,79.4%
09X568,9,Young Women's Leadership School of the Bronx,false,X117,false,536,0,251,285,0.026,0.323,0.612,0.022,0.017,0.183,0.049,0.838,222,123,55.4%,222,90,40.5%,No Data,No Data,No Data,No Data
09X593,9,M.S. 593,false,X145,false,45,0,45,0,0,0.156,0.844,0,0,0.111,0.889,0.889,30,0,0.0%,50,2,4.0%,No Data,No Data,No Data,No Data
09X594,9,M.S. 594,false,X145,false,197,0,197,0,0.005,0.279,0.701,0.01,0.005,0.305,0.305,0.944,185,20,10.8%,200,10,5.0%,No Data,No Data,No Data,No Data
10X015,10,P.S. X015 Institute for Environmental Learning,false,X015,false,475,302,173,0,0.015,0.114,0.861,0.011,0,0.204,0.114,0.779,309,160,51.8%,307,171,55.7%,No Data,No Data,No Data,No Data
10X020,10,"P.S./M.S. 20 P.O.George J. Werdann, III",false,X020,false,988,618,370,0,0.083,0.114,0.735,0.017,0.051,0.281,0.253,0.962,629,189,30.0%,641,172,26.8%,No Data,No Data,No Data,No Data
10X045,10,Thomas C. Giordano Middle School 45,false,X045,false,709,0,709,0,0.008,0.165,0.784,0.008,0.034,0.188,0.192,0.959,672,211,31.4%,628,74,11.8%,No Data,No Data,No Data,No Data
10X046,10,P.S. 046 Edgar Allan Poe,true,"X045, X046",false,853,853,0,0,0.015,0.134,0.824,0.009,0.018,0.231,0.399,0.879,399,118,29.6%,415,112,27.0%,No Data,No Data,No Data,No Data
10X077,10,Bedford Park Elementary School,false,X177,false,423,423,0,0,0.132,0.061,0.671,0.019,0.116,0.154,0.281,0.865,130,54,41.5%,132,38,28.8%,No Data,No Data,No Data,No Data
10X080,10,J.H.S. 080 The Mosholu Parkway,false,X080,false,652,0,652,0,0.112,0.133,0.706,0.012,0.037,0.252,0.316,0.883,603,180,29.9%,485,115,23.7%,No Data,No Data,No Data,No Data
10X095,10,P.S. 095 Sheila Mencher,false,X095,false,1230,752,478,0,0.057,0.164,0.715,0.02,0.044,0.215,0.162,0.811,831,303,36.5%,788,238,30.2%,No Data,No Data,No Data,No Data
10X213,10,Bronx Engineering and Technology Academy,false,X475,false,377,0,0,377,0.048,0.276,0.642,0.011,0.024,0.247,0.186,0.928,No Data,No Data,No Data,No Data,No Data,No Data,94,70.2%,88,78.4%
10X225,10,Theatre Arts Production Company School,false,X137,false,540,0,192,348,0.022,0.241,0.711,0.009,0.017,0.235,0.076,0.793,170,52,30.6%,112,28,25.0%,88,75.0%,76,90.8%
10X237,10,"The Marie Curie School for Medicine, Nursing, and Health Professions",false,X143,false,430,0,0,430,0.033,0.288,0.623,0.019,0.037,0.235,0.128,0.758,No Data,No Data,No Data,No Data,No Data,No Data,125,64.8%,116,84.5%
10X243,10,West Bronx Academy for the Future,false,X435,false,609,0,282,327,0.02,0.179,0.783,0.007,0.011,0.263,0.122,0.943,265,86,32.5%,246,21,8.5%,77,84.4%,66,90.9%
10X244,10,The New School for Leadership and Journalism,false,X143,false,748,0,748,0,0.035,0.106,0.834,0.009,0.016,0.222,0.233,0.981,680,285,41.9%,639,159,24.9%,No Data,No Data,No Data,No Data
10X264,10,Bronx Academy for Software Engineering (BASE),false,X660,false,419,0,0,419,0.062,0.272,0.611,0.021,0.033,0.282,0.091,0.757,No Data,No Data,No Data,No Data,No Data,No Data,106,66.0%,No Data,No Data
10X268,10,Kingsbridge International High School,false,X430,false,491,0,0,491,0.033,0.033,0.902,0.006,0.026,0.043,0.872,0.961,No Data,No Data,No Data,No Data,No Data,No Data,118,51.7%,146,58.2%
10X280,10,P.S./M.S. 280 Mosholu Parkway,false,X080,false,816,498,318,0,0.096,0.077,0.77,0.006,0.051,0.298,0.169,0.935,548,202,36.9%,559,245,43.8%,No Data,No Data,No Data,No Data
10X284,10,Bronx School of Law and Finance,false,X475,false,369,0,0,369,0.011,0.217,0.724,0.016,0.033,0.211,0.217,0.881,No Data,No Data,No Data,No Data,No Data,No Data,98,78.6%,92,72.8%
10X291,10,P.S. 291,false,X015,false,601,601,0,0,0.007,0.075,0.915,0,0.003,0.178,0.286,0.998,288,109,37.8%,300,100,33.3%,No Data,No Data,No Data,No Data
10X306,10,P.S. 306,false,X306,false,651,651,0,0,0.014,0.25,0.727,0.002,0.008,0.203,0.163,0.879,313,103,32.9%,324,90,27.8%,No Data,No Data,No Data,No Data
10X331,10,The Bronx School of Young Leaders,false,X306,false,434,0,434,0,0.012,0.265,0.717,0.005,0.002,0.253,0.205,0.855,384,121,31.5%,393,104,26.5%,No Data,No Data,No Data,No Data
10X342,10,International School for Liberal Arts,false,X430,false,518,0,147,371,0.002,0.002,0.996,0,0,0.087,0.712,0.981,134,21,15.7%,150,22,14.7%,114,72.8%,98,78.6%
10X344,10,Ampark Neighborhood,false,X095,false,378,378,0,0,0.037,0.13,0.627,0.04,0.167,0.222,0.037,0.516,171,91,53.2%,170,90,52.9%,No Data,No Data,No Data,No Data
10X351,10,Bronx Collaborative High School,false,X440,false,587,0,0,587,0.034,0.286,0.632,0.014,0.034,0.227,0.191,0.807,No Data,No Data,No Data,No Data,No Data,No Data,126,61.9%,s,s
10X353,10,World View High School,false,X440,false,551,0,0,551,0.013,0.23,0.715,0.033,0.009,0.174,0.25,0.755,No Data,No Data,No Data,No Data,No Data,No Data,92,80.4%,No Data,No Data
10X363,10,Academy For Personal Leadership And Excellence,false,X115,false,582,0,582,0,0.019,0.108,0.851,0.01,0.012,0.273,0.314,0.916,514,137,26.7%,542,85,15.7%,No Data,No Data,No Data,No Data
10X368,10,In-Tech Academy (M.S. / High School 368),false,X368,false,1022,0,480,542,0.042,0.084,0.823,0.015,0.036,0.217,0.168,0.859,455,168,36.9%,313,95,30.4%,103,76.7%,157,90.4%
10X374,10,Knowledge and Power Preparatory Academy International High School (Kappa),false,X435,false,464,0,0,464,0.022,0.269,0.664,0.017,0.028,0.246,0.11,0.871,No Data,No Data,No Data,No Data,No Data,No Data,114,92.1%,136,93.4%
10X382,10,"Elementary School for Math, Science, and Technology",false,X079,false,278,278,0,0,0.007,0.223,0.763,0.007,0,0.18,0.291,0.957,146,33,22.6%,154,35,22.7%,No Data,No Data,No Data,No Data
10X386,10,School for Environmental Citizenship,false,X079,false,604,604,0,0,0.007,0.116,0.863,0,0.015,0.179,0.326,0.98,261,61,23.4%,270,49,18.1%,No Data,No Data,No Data,No Data
10X390,10,M.S. 390,false,X026,false,539,0,539,0,0.011,0.13,0.853,0.002,0.004,0.258,0.278,0.952,473,123,26.0%,501,134,26.7%,No Data,No Data,No Data,No Data
10X391,10,The Angelo Patri Middle School,false,X137,false,475,0,475,0,0.019,0.232,0.733,0.006,0.011,0.263,0.356,0.909,422,58,13.7%,458,59,12.9%,No Data,No Data,No Data,No Data
10X396,10,P.S. 396,false,X026,false,291,291,0,0,0.01,0.179,0.804,0.003,0.003,0.337,0.199,0.931,119,30,25.2%,122,30,24.6%,No Data,No Data,No Data,No Data
10X397,10,English Language Learners and International Support Preparatory Academy (ELLIS),false,X475,true,309,0,0,309,0.023,0.214,0.693,0.029,0.042,0.003,0.955,0.861,No Data,No Data,No Data,No Data,No Data,No Data,115,26.1%,118,33.1%
10X433,10,High School for Teaching and the Professions,false,X430,false,414,0,0,414,0.029,0.145,0.771,0.012,0.043,0.229,0.263,0.867,No Data,No Data,No Data,No Data,No Data,No Data,111,79.3%,113,74.3%
10X434,10,Belmont Preparatory High School,false,X435,false,390,0,0,390,0.046,0.218,0.71,0.013,0.013,0.231,0.121,0.844,No Data,No Data,No Data,No Data,No Data,No Data,107,87.9%,86,95.3%
10X437,10,Fordham High School for the Arts,false,X435,false,319,0,0,319,0.016,0.386,0.552,0.025,0.022,0.216,0.038,0.893,No Data,No Data,No Data,No Data,No Data,No Data,87,96.6%,75,98.7%
10X438,10,Fordham Leadership Academy,false,X435,false,352,0,0,352,0.028,0.256,0.69,0.011,0.014,0.241,0.199,0.824,No Data,No Data,No Data,No Data,No Data,No Data,62,85.5%,109,71.6%
10X439,10,Bronx High School for Law and Community Service,false,X435,false,402,0,0,402,0.015,0.276,0.667,0.017,0.025,0.254,0.129,0.898,No Data,No Data,No Data,No Data,No Data,No Data,84,91.7%,95,82.1%
10X440,10,DeWitt Clinton High School,false,X440,false,1119,0,0,1119,0.107,0.317,0.521,0.023,0.031,0.189,0.148,0.788,No Data,No Data,No Data,No Data,No Data,No Data,266,67.3%,631,62.6%
10X442,10,"Celia Cruz Bronx High School of Music, The",false,X430,false,421,0,0,421,0.014,0.266,0.66,0.048,0.012,0.228,0.057,0.869,No Data,No Data,No Data,No Data,No Data,No Data,95,94.7%,90,95.6%
10X447,10,Creston Academy,false,X079,false,459,0,459,0,0.017,0.111,0.852,0.009,0.011,0.19,0.298,0.95,432,148,34.3%,447,167,37.4%,No Data,No Data,No Data,No Data
10X459,10,East Fordham Academy for the Arts,false,X115,false,296,0,296,0,0.024,0.182,0.757,0.02,0.017,0.28,0.291,0.902,276,45,16.3%,284,19,6.7%,No Data,No Data,No Data,No Data
10X477,10,Marble Hill High School for International Studies,false,X475,false,448,0,0,448,0.138,0.15,0.65,0.016,0.047,0.134,0.297,0.891,No Data,No Data,No Data,No Data,No Data,No Data,98,90.8%,113,93.8%
10X524,10,Crotona International High School,false,X660,false,333,0,0,333,0.015,0.063,0.877,0.006,0.039,0.033,0.958,0.844,No Data,No Data,No Data,No Data,No Data,No Data,91,65.9%,80,46.3%
10X546,10,Bronx Theatre High School,false,X475,false,347,0,0,347,0.012,0.323,0.605,0.035,0.026,0.236,0.058,0.841,No Data,No Data,No Data,No Data,No Data,No Data,67,80.6%,87,73.6%
10X549,10,Discovery High School,false,X430,false,490,0,1,489,0.041,0.165,0.759,0.012,0.022,0.253,0.251,0.859,No Data,No Data,No Data,No Data,No Data,No Data,102,85.3%,114,82.5%
10X565,10,High School for Energy and Technology,false,X660,false,406,0,0,406,0.037,0.241,0.7,0.01,0.012,0.268,0.143,0.813,No Data,No Data,No Data,No Data,No Data,No Data,100,76.0%,91,84.6%
11X111,11,P.S. 111 Seton Falls,false,X111,false,644,644,0,0,0.014,0.601,0.357,0.011,0.017,0.276,0.056,0.885,284,69,24.3%,285,61,21.4%,No Data,No Data,No Data,No Data
11X127,11,J.H.S. 127 The Castle Hill,false,X127,false,850,0,850,0,0.318,0.221,0.407,0.028,0.026,0.192,0.132,0.738,792,329,41.5%,697,200,28.7%,No Data,No Data,No Data,No Data
11X144,11,J.H.S. 144 Michelangelo,false,X144,false,485,0,485,0,0.064,0.588,0.305,0.004,0.039,0.249,0.107,0.761,440,148,33.6%,442,121,27.4%,No Data,No Data,No Data,No Data
11X153,11,P.S. 153 Helen Keller,false,X153,false,623,623,0,0,0.136,0.575,0.238,0.014,0.037,0.117,0.016,0.618,326,204,62.6%,332,175,52.7%,No Data,No Data,No Data,No Data
11X160,11,P.S. 160 Walt Disney,false,X160,false,377,377,0,0,0.019,0.615,0.31,0.04,0.016,0.255,0.04,0.7,163,81,49.7%,164,63,38.4%,No Data,No Data,No Data,No Data
11X178,11,P.S. 178 - Dr. Selman Waksman,false,X178,false,410,410,0,0,0.034,0.602,0.29,0.012,0.061,0.222,0.046,0.768,215,72,33.5%,217,47,21.7%,No Data,No Data,No Data,No Data
11X181,11,I.S. 181 Pablo Casals,false,X181,false,890,0,890,0,0.051,0.606,0.272,0.035,0.037,0.235,0.036,0.791,837,395,47.2%,700,241,34.4%,No Data,No Data,No Data,No Data
11X189,11,Cornerstone Academy for Social Action,false,X189,false,383,383,0,0,0.005,0.533,0.402,0.026,0.034,0.211,0.037,0.885,172,44,25.6%,172,51,29.7%,No Data,No Data,No Data,No Data
11X194,11,P.S./M.S. 194,false,X194,false,1292,774,518,0,0.38,0.063,0.483,0.028,0.046,0.143,0.187,0.792,894,391,43.7%,879,382,43.5%,No Data,No Data,No Data,No Data
11X249,11,Bronx Health Sciences High School,false,X455,false,295,0,0,295,0.061,0.529,0.315,0.054,0.041,0.129,0.047,0.695,No Data,No Data,No Data,No Data,No Data,No Data,70,94.3%,58,94.8%
11X253,11,Bronx High School for Writing and Communication Arts,false,X425,false,317,0,0,317,0.047,0.476,0.438,0.016,0.022,0.237,0.155,0.707,No Data,No Data,No Data,No Data,No Data,No Data,87,64.4%,106,70.8%
11X265,11,Bronx Lab School,false,X425,false,371,0,0,371,0.024,0.35,0.563,0.03,0.032,0.302,0.154,0.833,No Data,No Data,No Data,No Data,No Data,No Data,99,61.6%,103,78.6%
11X270,11,Academy for Scholarship and Entrepreneurship: A College Board School,false,X362,false,368,0,0,368,0.016,0.633,0.302,0.033,0.016,0.226,0.052,0.736,No Data,No Data,No Data,No Data,No Data,No Data,100,77.0%,90,75.6%
11X275,11,High School of Computers and Technology,false,X425,false,542,0,0,542,0.079,0.351,0.531,0.024,0.015,0.251,0.081,0.762,No Data,No Data,No Data,No Data,No Data,No Data,138,72.5%,108,88.9%
11X287,11,North Bronx School of Empowerment,false,X113,false,563,0,563,0,0.039,0.572,0.352,0.018,0.02,0.263,0.135,0.885,512,99,19.3%,551,54,9.8%,No Data,No Data,No Data,No Data
11X288,11,Collegiate Institute for Math and Science,false,X415,false,607,0,0,607,0.115,0.343,0.404,0.02,0.119,0.186,0.033,0.725,No Data,No Data,No Data,No Data,No Data,No Data,171,87.1%,189,88.4%
11X290,11,Bronx Academy of Health Careers,false,X425,false,359,0,0,359,0.039,0.412,0.521,0.017,0.011,0.209,0.131,0.786,No Data,No Data,No Data,No Data,No Data,No Data,95,74.7%,112,83.0%
11X299,11,Astor Collegiate Academy,false,X415,false,500,0,0,500,0.08,0.278,0.492,0.03,0.12,0.23,0.076,0.722,No Data,No Data,No Data,No Data,No Data,No Data,104,73.1%,96,85.4%
11X326,11,Bronx Green Middle School,false,X135,false,407,0,407,0,0.069,0.179,0.59,0.015,0.147,0.214,0.221,0.919,383,128,33.4%,387,83,21.4%,No Data,No Data,No Data,No Data
11X355,11,Bronx Alliance Middle School,false,X142,false,300,0,300,0,0.03,0.607,0.347,0.013,0.003,0.233,0.063,0.867,282,43,15.2%,287,26,9.1%,No Data,No Data,No Data,No Data
11X370,11,Leaders of Tomorrow,false,X113,false,429,0,429,0,0.012,0.59,0.373,0.012,0.014,0.312,0.138,0.909,380,85,22.4%,394,34,8.6%,No Data,No Data,No Data,No Data
11X418,11,Bronx High School for the Visual Arts,false,X839,false,461,0,0,461,0.037,0.271,0.59,0.009,0.093,0.297,0.061,0.783,No Data,No Data,No Data,No Data,No Data,No Data,101,72.3%,116,73.3%
11X455,11,Harry S Truman High School,false,X455,false,2081,0,0,2081,0.032,0.498,0.417,0.025,0.027,0.262,0.084,0.72,No Data,No Data,No Data,No Data,No Data,No Data,525,78.3%,478,73.6%
11X462,11,Cornerstone Academy for Social Action Middle School (CASA),false,X189,false,257,0,257,0,0,0.611,0.358,0.016,0.016,0.241,0.019,0.743,237,84,35.4%,228,55,24.1%,No Data,No Data,No Data,No Data
11X468,11,Pelham Academy of Academics and Community Engagement,false,X135,false,332,0,332,0,0.087,0.169,0.611,0.003,0.13,0.226,0.151,0.873,319,134,42.0%,323,129,39.9%,No Data,No Data,No Data,No Data
11X481,11,The STEAM Bridge School,false,X311,false,216,216,0,0,0.093,0.116,0.625,0.028,0.139,0.157,0.324,0.894,34,33,97.1%,34,25,73.5%,No Data,No Data,No Data,No Data
11X483,11,The Matilda Avenue School,false,X314,false,163,163,0,0,0.043,0.521,0.337,0.049,0.049,0.11,0.049,0.755,33,18,54.5%,35,17,48.6%,No Data,No Data,No Data,No Data
11X498,11,P.S./M.S. 11X498 - VAN NEST ACADEMY,false,X498,false,652,378,274,0,0.067,0.113,0.632,0.015,0.172,0.213,0.071,0.779,444,212,47.7%,441,254,57.6%,No Data,No Data,No Data,No Data
11X508,11,Bronxdale High School,false,X415,false,459,0,0,459,0.05,0.283,0.571,0.013,0.083,0.229,0.068,0.789,No Data,No Data,No Data,No Data,No Data,No Data,100,82.0%,114,85.1%
11X509,11,High School of Language and Innovation,false,X415,false,379,0,0,379,0.195,0.061,0.538,0.016,0.19,0.042,0.802,0.989,No Data,No Data,No Data,No Data,No Data,No Data,81,74.1%,107,73.8%
11X513,11,New World High School,false,X362,false,381,0,0,381,0.092,0.121,0.669,0.021,0.097,0.058,0.688,0.961,No Data,No Data,No Data,No Data,No Data,No Data,70,90.0%,74,89.2%
11X514,11,The Bronxwood Preparatory Academy,false,X362,false,360,0,0,360,0.039,0.633,0.258,0.033,0.036,0.219,0.097,0.706,No Data,No Data,No Data,No Data,No Data,No Data,100,65.0%,96,79.2%
11X529,11,One World Middle School at Edenwald,false,X142,false,344,0,344,0,0.044,0.561,0.346,0.038,0.012,0.282,0.061,0.881,319,125,39.2%,316,105,33.2%,No Data,No Data,No Data,No Data
11X532,11,Baychester Middle School,false,X142,false,281,0,281,0,0.021,0.623,0.31,0.036,0.011,0.221,0.053,0.851,275,83,30.2%,276,35,12.7%,No Data,No Data,No Data,No Data
11X534,11,District 11 Pre-K Center,true,"X311, X314",false,80,80,0,0,0.15,0.2,0.5,0.038,0.112,0.063,0,0.675,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
11X542,11,Pelham Preparatory Academy,false,X415,false,511,0,0,511,0.074,0.254,0.55,0.018,0.104,0.245,0.061,0.728,No Data,No Data,No Data,No Data,No Data,No Data,134,91.0%,119,90.8%
