ADMISSION_YEAR,COUNTY_CODE,COUNTY_NAME,SECTOR_CODE,SECTOR,SCHOOL_TYPE_CODE,SCHOOL_TYPE,SCHOOL_LEVEL_CODE,SCHOOL_LEVEL,SEDCODE,INST_ID,LEGAL_NAME,PROGRAM_TYPE,ADMISSION_STATUS,Asian,American Indian/Alaskan Native,Black/African American,Hispanic (any race),Native Hawaiian/Pacific Islander,Non-Hispanic 2 or More Races,Unknown,Nonresident Alien,White
Fall of 2015,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,62,37,942,1094,8,56,115,15,1556
Fall of 2015,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,59,35,903,1049,8,56,108,15,1501
Fall of 2015,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,26,3,231,358,2,56,15,13,972
Fall of 2015,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2015,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2015,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2015,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,2,22,27,0,1,1,0,32
Fall of 2015,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,2,21,27,0,1,0,0,31
Fall of 2015,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,6,3,0,1,0,0,13
Fall of 2016,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,67,28,806,971,4,60,169,12,1350
Fall of 2016,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,67,28,806,971,4,60,169,12,1350
Fall of 2016,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,36,3,201,362,1,60,50,12,849
Fall of 2016,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2016,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2016,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2016,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,1,22,21,0,0,4,0,26
Fall of 2016,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,1,22,21,0,0,4,0,26
Fall of 2016,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,1,3,0,0,1,0,7
Fall of 2017,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,59,45,962,1066,4,61,240,15,1494
Fall of 2017,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,49,29,748,912,4,61,163,15,1308
Fall of 2017,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,28,2,233,339,3,61,62,12,796
Fall of 2017,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2017,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2017,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2017,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,4,1,31,19,1,1,3,0,35
Fall of 2017,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,3,1,20,12,1,1,1,0,19
Fall of 2017,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,6,3,0,1,0,0,8
Fall of 2018,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,77,26,922,1115,8,62,162,20,1336
Fall of 2018,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,67,15,749,983,6,62,129,16,1199
Fall of 2018,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,29,2,194,323,0,62,33,15,787
Fall of 2018,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2018,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2018,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2018,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,2,0,29,31,1,0,4,1,42
Fall of 2018,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,1,0,16,22,0,0,0,1,26
Fall of 2018,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,1,0,0,0,1,7
Fall of 2019,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,57,36,752,1030,10,67,160,5,1175
Fall of 2019,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,55,26,601,916,8,67,130,5,1058
Fall of 2019,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,31,2,190,332,2,67,51,4,685
Fall of 2019,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2019,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2019,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2019,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,4,1,27,17,0,1,5,0,29
Fall of 2019,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,3,1,15,13,0,1,2,0,17
Fall of 2019,13,DUTCHESS,0,SUNY,0,PUBLIC,0,2-Year,272400,800000053315,DUTCHESS COMMUNITY COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,1,2,0,1,0,0,4
Fall of 2013,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,51,18,484,226,1,72,163,121,1390
Fall of 2013,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,51,18,484,226,1,72,163,113,1390
Fall of 2013,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,51,18,484,226,1,72,163,113,1390
Fall of 2013,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2013,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2013,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2013,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,1,1,39,13,0,6,9,13,91
Fall of 2013,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,1,1,39,13,0,6,8,11,85
Fall of 2013,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,1,1,39,13,0,6,7,7,85
Fall of 2014,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,143,54,1292,535,7,188,355,343,3105
Fall of 2014,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,114,40,987,439,6,165,282,237,2750
Fall of 2014,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,50,18,398,163,4,89,131,118,1225
Fall of 2014,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2014,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2014,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2014,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,6,0,111,62,2,19,30,28,292
Fall of 2014,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,4,0,75,46,2,14,20,19,243
Fall of 2014,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,2,0,32,16,0,5,13,8,98
Fall of 2015,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,166,41,1084,499,6,134,2632,296,2132
Fall of 2015,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,137,35,893,382,5,115,2078,220,1962
Fall of 2015,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,68,13,321,84,0,43,925,76,704
Fall of 2015,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2015,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2015,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2015,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,8,5,80,36,0,8,236,19,181
Fall of 2015,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,8,3,60,26,0,7,183,12,159
Fall of 2015,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,5,3,20,4,0,3,56,3,46
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,87,20,545,166,3,59,171,229,1648
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,66,11,362,126,3,39,124,147,1292
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,31,2,152,54,2,14,46,70,543
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,3,1,38,11,0,3,11,12,149
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,2,1,24,7,0,3,7,2,108
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,1,7,4,0,1,3,0,41
Fall of 2018,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,43,1,160,60,1,22,56,72,536
Fall of 2018,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,42,1,158,59,1,22,56,72,535
Fall of 2018,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,37,0,124,49,1,21,53,59,445
Fall of 2018,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2018,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2018,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2018,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,2,0,17,6,0,3,4,5,64
Fall of 2018,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,2,0,17,6,0,3,4,5,62
Fall of 2018,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272700,800000034162,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,2,0,13,4,0,2,3,4,45
Fall of 2019,14,ERIE,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,422000,800000052571,D'YOUVILLE COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2019,14,ERIE,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,422000,800000052571,D'YOUVILLE COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2019,14,ERIE,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,422000,800000052571,D'YOUVILLE COLLEGE,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2019,14,ERIE,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,422000,800000052571,D'YOUVILLE COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,117,3,149,111,0,43,225,8,757
Fall of 2019,14,ERIE,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,422000,800000052571,D'YOUVILLE COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,117,3,149,111,0,43,65,8,756
Fall of 2019,14,ERIE,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,422000,800000052571,D'YOUVILLE COLLEGE,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,14,1,17,8,0,12,10,8,149
Fall of 2019,14,ERIE,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,422000,800000052571,D'YOUVILLE COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2019,14,ERIE,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,422000,800000052571,D'YOUVILLE COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2019,14,ERIE,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,422000,800000052571,D'YOUVILLE COLLEGE,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272710,800000052556,ERIE COMMUNITY COLLEGE-CITY CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,84,13,680,155,2,28,137,104,491
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272710,800000052556,ERIE COMMUNITY COLLEGE-CITY CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,68,9,540,126,2,22,92,75,389
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272710,800000052556,ERIE COMMUNITY COLLEGE-CITY CAMPUS,Associate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,32,3,196,39,1,5,36,47,134
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272710,800000052556,ERIE COMMUNITY COLLEGE-CITY CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Complete Applications Received,0,0,0,0,0,0,0,0,0
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272710,800000052556,ERIE COMMUNITY COLLEGE-CITY CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Accepted,0,0,0,0,0,0,0,0,0
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272710,800000052556,ERIE COMMUNITY COLLEGE-CITY CAMPUS,Baccalaureate Degree Programs (Full-Time First-Time Freshmen),Applicants Enrolled,0,0,0,0,0,0,0,0,0
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272710,800000052556,ERIE COMMUNITY COLLEGE-CITY CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Complete Applications Received,3,1,41,10,0,0,10,2,40
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272710,800000052556,ERIE COMMUNITY COLLEGE-CITY CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Accepted,3,1,21,8,0,0,4,1,30
Fall of 2016,14,ERIE,0,SUNY,0,PUBLIC,0,2-Year,272710,800000052556,ERIE COMMUNITY COLLEGE-CITY CAMPUS,Certificate or Diploma Programs (Full-Time First-Time Freshmen),Applicants Enrolled,2,1,9,0,0,0,3,0,12
